pps,Q1.raw,Q2.raw,Q3.raw,Q4.raw,Q5.raw,Q6.raw,Q7.raw,Q8.raw,Q9.raw,Q10.raw,Q11.raw,Q12.raw,Q13.raw,Q14.raw,Q15.raw,Q16.raw,Q17.raw,Q18.raw,Q19.raw,Q20.raw,Q21.raw,Q22.raw,Q23.raw,Q24.raw,Q25.raw,Q26.raw,Q27.raw,Q28.raw,Q29.raw,Q30.raw,Q31.raw,Q32.raw,Q33.raw,Q34.raw,Q35.raw,Q36.raw,Q37.raw,Q38.raw,Q39.raw,Q40.raw,Q1.processed,Q2.processed,Q3.processed,Q4.processed,Q5.processed,Q6.processed,Q7.processed,Q8.processed,Q9.processed,Q10.processed,Q11.processed,Q12.processed,Q13.processed,Q14.processed,Q15.processed,Q16.processed,Q17.processed,Q18.processed,Q19.processed,Q20.processed,Q21.processed,Q22.processed,Q23.processed,Q24.processed,Q25.processed,Q26.processed,Q27.processed,Q28.processed,Q29.processed,Q30.processed,Q31.processed,Q32.processed,Q33.processed,Q34.processed,Q35.processed,Q36.processed,Q37.processed,Q38.processed,Q39.processed,Q40.processed,EQ Cognitive,EQ Social,EQ Emotion,EQ.Total,Social skill,Attention switching,Communication,Imagination,Attention to detail,AQ
pp01,3,1,2,2,1,2,0,1,1,0,2,2,1,1,2,1,1,1,1,2,3,2,2,3,2,2,2,2,3,1,1,2,3,2,2,2,2,1,2,2,2,1,1,0,1,0,2,1,1,2,1,0,0,0,1,1,1,1,1,0,2,1,1,2,0,1,1,1,2,1,1,0,0,1,1,1,1,0,1,1,5,6,4,36,5,5,7,5,5,27
pp02,2,3,1,2,2,0,1,0,2,0,3,2,2,3,2,2,1,1,3,2,2,2,2,3,2,3,1,3,2,2,1,1,2,2,2,2,2,2,1,3,1,0,0,0,0,2,1,2,0,2,2,0,1,2,1,0,1,1,0,0,1,1,1,2,0,2,0,2,1,0,1,1,0,1,1,1,1,1,0,2,6,4,0,35,3,6,3,2,5,19
pp03,3,0,3,0,2,0,2,0,1,0,3,0,3,3,3,0,2,0,1,1,0,3,2,3,1,3,3,3,3,2,0,3,3,3,3,3,3,3,3,3,2,2,2,2,0,2,0,2,1,2,2,2,2,2,2,2,0,2,1,1,0,2,1,2,1,2,2,2,2,0,2,0,0,2,2,2,2,2,2,2,10,6,7,61,,,,,,
pp04,2,2,2,1,0,0,1,1,1,0,2,2,2,2,2,1,0,2,0,2,2,3,1,3,1,3,2,2,3,0,1,1,1,2,3,2,2,3,3,2,1,0,1,1,2,2,1,1,1,2,1,0,1,1,1,1,2,0,2,0,1,2,0,2,1,2,1,1,2,2,1,1,1,1,2,1,1,2,2,1,7,4,7,48,1,9,1,4,5,20
pp06,2,1,2,2,1,1,0,1,1,0,2,2,2,1,2,2,1,1,2,1,2,2,1,2,1,2,2,2,2,0,0,2,1,1,1,2,1,1,1,1,1,1,1,0,1,1,2,1,1,2,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,2,2,0,1,0,0,1,0,0,0,0,2,5,2,31,3,4,1,2,0,10
pp07,2,1,3,0,0,2,0,1,2,0,1,1,2,2,3,1,1,1,1,0,3,2,1,3,2,2,3,2,3,1,0,0,0,2,1,2,2,1,2,2,1,1,2,2,2,0,2,1,0,2,0,1,1,1,2,1,1,1,1,2,2,1,0,2,0,1,2,1,2,1,2,2,2,1,0,1,1,0,1,1,6,8,7,47,1,4,1,0,2,8
pp08,2,1,1,1,2,1,1,2,1,0,2,2,2,1,3,2,1,2,1,3,2,1,1,3,2,2,2,1,3,2,1,1,2,1,1,1,1,2,2,2,1,1,0,1,0,1,1,0,1,2,1,0,1,0,2,0,1,0,1,0,1,0,0,2,0,1,1,0,2,0,1,1,0,0,0,0,0,1,1,1,4,4,2,26,4,8,5,4,5,26
pp09,2,1,3,2,1,1,1,2,2,0,2,2,2,2,2,1,1,2,0,0,1,2,2,3,1,2,1,3,2,1,1,2,2,2,2,1,1,1,1,2,1,1,2,0,1,1,1,0,0,2,1,0,1,1,1,1,1,0,2,2,0,1,1,2,1,1,0,2,1,1,1,0,0,1,1,0,0,0,0,1,5,2,5,33,5,6,4,1,2,18
pp10,3,0,2,1,1,1,0,1,2,2,2,1,2,2,3,2,1,2,1,1,3,3,1,3,1,2,2,2,2,0,0,1,2,2,1,2,1,1,0,2,2,2,1,1,1,1,2,1,0,0,1,1,1,1,2,0,1,0,1,1,2,2,0,2,1,1,1,1,1,2,2,1,0,1,0,1,0,0,0,1,5,8,2,39,1,6,0,4,3,14
pp11,2,2,2,1,1,0,0,0,1,1,2,1,3,3,2,0,0,1,1,0,2,3,2,2,1,2,3,3,3,0,0,1,1,2,2,1,1,1,3,3,1,0,1,1,1,2,2,2,1,1,1,1,2,2,1,2,2,1,1,2,1,2,1,1,1,1,2,2,2,2,2,1,1,1,1,0,0,0,2,2,7,6,7,52,0,5,1,3,3,12
pp12,3,1,2,0,1,1,0,0,1,2,2,1,3,3,3,0,0,1,2,0,3,3,1,1,1,3,1,3,2,1,1,2,2,3,2,3,1,3,1,2,2,1,1,2,1,1,2,2,1,0,1,1,2,2,2,2,2,1,0,2,2,2,0,0,1,2,0,2,1,1,1,0,0,2,1,2,0,2,0,1,8,9,3,48,0,3,1,1,8,13
pp13,3,2,2,0,0,0,0,0,0,1,1,0,3,2,2,1,1,1,1,0,0,2,1,2,2,3,2,3,2,1,0,1,2,2,2,2,3,2,2,3,2,0,1,2,2,2,2,2,2,1,0,2,2,1,1,1,1,1,1,2,0,1,0,1,0,2,1,2,1,1,2,1,0,1,1,1,2,1,1,2,5,6,4,49,,,,,,
pp14,2,1,1,0,1,1,2,0,2,0,3,3,0,2,2,1,3,1,0,2,2,3,0,2,2,3,2,3,3,1,3,1,3,3,3,3,2,1,2,3,1,1,0,2,1,1,0,2,0,2,2,0,0,1,1,1,0,1,2,0,1,2,0,1,0,2,1,2,2,1,0,1,0,2,2,2,1,0,1,2,8,6,4,41,4,0,3,4,1,12
pp15,2,1,3,0,1,1,0,1,1,0,3,1,1,2,2,2,1,1,0,2,3,2,1,3,2,2,3,2,2,1,0,1,0,2,2,2,2,2,2,2,1,1,2,2,1,1,2,1,1,2,2,1,0,1,1,0,1,1,2,0,2,1,0,2,0,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,5,8,7,46,1,3,0,0,6,10
pp16,3,2,3,1,0,1,0,0,0,0,2,0,2,2,3,1,0,0,1,0,2,3,2,3,2,3,3,3,3,0,0,0,1,3,2,3,2,2,1,3,2,0,2,1,2,1,2,2,2,2,1,2,1,1,2,1,2,2,1,2,1,2,1,2,0,2,2,2,2,2,2,2,1,2,1,2,1,1,0,2,8,6,5,61,1,5,2,1,5,14
pp17,3,2,3,1,1,2,0,1,0,0,0,2,3,2,2,1,2,2,1,3,2,2,3,3,2,3,2,2,3,1,1,0,0,2,2,3,3,2,2,3,2,0,2,1,1,0,2,1,2,2,0,0,2,1,1,1,0,0,1,0,1,1,2,2,0,2,1,1,2,1,1,2,2,1,1,2,2,1,1,2,6,5,7,47,2,4,3,2,4,15
pp18,2,1,2,1,1,1,0,0,1,0,2,1,3,2,3,0,1,1,1,1,3,3,1,3,2,2,2,3,2,1,1,1,1,2,2,2,1,2,2,2,1,1,1,1,1,1,2,2,1,2,1,1,2,1,2,2,1,1,1,1,2,2,0,2,0,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,6,8,6,47,0,1,0,0,2,3
pp19,2,2,2,1,0,0,1,1,1,0,2,1,2,2,3,1,0,2,2,2,2,2,1,3,1,2,2,3,2,1,1,2,1,2,2,2,1,1,2,2,1,0,1,1,2,2,1,1,1,2,1,1,1,1,2,1,2,0,0,0,1,1,0,2,1,1,1,2,1,1,1,0,1,1,1,1,0,0,1,1,6,4,4,39,1,2,4,2,4,13
pp20,2,1,3,1,2,0,0,1,1,0,3,1,0,2,2,1,2,2,1,1,2,3,2,3,1,2,3,2,3,1,2,1,3,2,1,2,1,3,3,2,1,1,2,1,0,2,2,1,1,2,2,1,0,1,1,1,0,0,1,1,1,2,1,2,1,1,2,1,2,1,0,1,0,1,0,1,0,2,2,1,5,6,6,43,1,2,2,7,6,18
pp21,3,1,3,1,1,0,1,0,1,0,2,1,3,2,3,1,1,0,2,0,2,2,2,0,1,2,0,2,2,1,0,1,2,2,2,2,2,3,0,2,2,1,2,1,1,2,1,2,1,2,1,1,2,1,2,1,1,2,0,2,1,1,1,0,1,1,0,1,1,1,2,1,0,1,1,1,1,2,0,1,6,6,3,46,5,5,3,2,5,20
pp23,3,0,3,0,1,2,0,0,1,1,2,0,3,2,2,0,1,1,0,0,2,3,1,3,1,2,3,2,2,1,0,0,1,3,3,2,2,2,2,3,2,2,2,2,1,0,2,2,1,1,1,2,2,1,1,2,1,1,2,2,1,2,0,2,1,1,2,1,1,1,2,2,1,2,2,1,1,1,1,2,7,9,8,57,2,2,1,0,6,11
pp24,2,2,2,0,1,0,0,1,1,0,2,1,2,2,2,1,2,1,1,1,3,1,1,2,2,2,2,1,2,1,0,1,1,2,2,2,1,1,0,2,1,0,1,2,1,2,2,1,1,2,1,1,1,1,1,1,0,1,1,1,2,0,0,1,0,1,1,0,1,1,2,1,1,1,1,1,0,0,0,1,5,7,4,37,2,5,2,4,3,16
pp25,2,0,1,0,1,2,1,0,1,2,2,2,0,1,2,2,2,1,1,1,2,0,1,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,2,2,1,2,0,2,1,0,1,2,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,3,8,3,30,1,2,2,4,5,14
pp26,3,0,3,2,0,0,3,1,0,0,1,0,3,3,2,0,1,0,0,2,3,3,3,3,1,3,3,3,3,0,0,1,1,3,3,2,2,2,2,3,2,2,2,0,2,2,0,1,2,2,0,2,2,2,1,2,1,2,2,0,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,1,1,1,1,2,9,5,8,62,4,10,1,4,3,22
pp27,2,1,2,0,1,2,0,1,1,0,2,1,2,1,2,2,2,1,1,2,3,2,2,2,2,3,2,2,2,2,1,1,1,2,2,2,2,2,1,2,1,1,1,2,1,0,2,1,1,2,1,1,1,0,1,0,0,1,1,0,2,1,1,1,0,2,1,1,1,0,1,1,1,1,1,1,1,1,0,1,4,8,3,37,2,5,1,4,6,18
pp29,3,1,3,1,0,1,0,0,1,0,3,1,2,3,3,0,1,0,1,0,3,3,1,3,2,3,2,3,3,2,1,1,0,3,2,2,0,2,2,3,2,1,2,1,2,1,2,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,0,2,0,2,1,2,2,0,1,1,2,2,1,1,0,1,1,2,9,8,8,57,,,,,,
pp30,2,1,2,1,0,0,0,0,1,0,1,2,2,1,2,1,1,2,1,2,1,3,2,3,1,2,2,3,2,2,0,1,1,2,1,1,2,1,3,2,1,1,1,1,2,2,2,2,1,2,0,0,1,0,1,1,1,0,1,0,0,2,1,2,1,1,1,2,1,0,2,1,1,1,0,0,1,0,2,1,3,6,6,40,2,3,1,0,5,11
pp31,3,3,2,2,2,0,1,1,1,0,2,1,1,3,2,1,0,2,1,2,3,2,3,2,2,2,3,3,2,1,0,2,0,2,2,2,3,2,0,2,2,0,1,0,0,2,1,1,1,2,1,1,0,2,1,1,2,0,1,0,2,1,2,1,0,1,2,2,1,1,2,0,2,1,1,1,2,1,0,1,6,4,5,43,3,7,3,2,1,16
pp32,3,0,3,0,0,0,0,0,0,0,3,0,3,3,3,0,1,0,0,2,3,3,1,3,3,3,2,3,3,1,0,0,0,3,3,3,0,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,0,2,2,0,2,0,2,1,2,2,1,2,2,2,2,2,2,0,2,2,2,10,10,10,69,1,1,0,3,8,13
pp33,3,0,3,2,1,1,0,0,1,0,2,3,3,3,3,0,0,0,0,0,2,3,2,3,1,3,3,3,3,0,0,1,0,3,2,3,2,2,3,3,2,2,2,0,1,1,2,2,1,2,1,0,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,1,2,2,1,2,1,1,2,2,9,7,10,65,4,5,4,2,4,19
pp34,2,1,3,2,0,0,0,1,1,0,2,1,2,2,2,0,1,1,1,0,1,2,2,2,1,2,2,2,2,0,0,1,0,2,2,2,0,2,3,2,1,1,2,0,2,2,2,1,1,2,1,1,1,1,1,2,1,1,1,2,0,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,0,1,2,1,5,4,9,48,6,5,2,1,6,20
pp35,3,0,2,0,1,0,0,0,0,0,3,0,3,2,3,0,0,0,1,0,3,2,2,3,1,3,3,2,3,1,0,0,0,2,3,3,3,2,3,3,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,1,2,1,2,2,1,2,1,2,2,2,1,2,2,2,1,2,2,8,10,8,69,1,5,2,0,4,12
pp36,2,0,3,1,1,1,2,0,2,0,2,2,2,0,1,0,0,2,1,1,2,2,1,3,1,2,3,2,2,0,0,1,1,2,1,0,3,0,1,0,1,2,2,1,1,1,0,2,0,2,1,0,1,0,0,2,2,0,1,1,1,1,0,2,1,1,2,1,1,2,2,1,1,1,0,0,2,0,0,0,2,6,6,39,3,5,4,3,1,16
pp37,2,1,3,1,1,0,0,0,1,1,2,0,2,2,2,0,1,1,1,1,2,2,3,2,2,2,2,3,2,2,1,1,1,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,0,1,1,2,1,0,1,1,1,1,1,1,1,1,1,1,5,7,7,46,2,3,0,2,8,15
pp38,3,1,2,1,1,1,0,0,1,1,3,0,3,3,3,0,0,0,0,0,3,3,1,2,1,3,2,3,3,1,0,1,0,3,3,3,0,2,2,3,2,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,2,1,2,2,1,2,1,2,2,2,2,0,1,1,2,10,8,8,62,1,4,2,0,4,11
pp39,2,1,3,1,1,1,0,0,0,0,1,1,2,2,2,0,3,1,0,0,2,2,2,2,1,2,2,2,2,0,1,1,2,2,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,0,1,1,1,1,2,0,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,0,1,1,0,0,0,1,1,5,7,7,43,,,,,,
pp41,2,2,3,2,1,0,1,1,2,0,2,1,2,2,2,1,1,1,1,1,2,3,2,2,2,2,2,3,2,1,1,2,2,2,2,3,1,2,2,2,1,0,2,0,1,2,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,1,2,1,1,1,0,0,1,1,2,0,1,1,1,5,3,5,39,2,4,2,1,4,13
pp42,2,1,3,0,0,0,0,1,1,0,2,1,3,2,2,0,1,1,0,0,3,3,2,1,2,2,0,3,3,0,0,1,0,2,2,2,1,2,3,3,1,1,2,2,2,2,2,1,1,2,1,1,2,1,1,2,1,1,2,2,2,2,1,0,0,1,0,2,2,2,2,1,2,1,1,1,0,1,2,2,6,8,10,55,2,6,0,2,5,15
pp43,2,2,2,1,0,2,0,0,1,0,3,2,1,2,2,2,1,2,1,0,2,3,1,2,3,2,2,3,2,0,0,2,1,2,2,3,2,2,2,2,1,0,1,1,2,0,2,2,1,2,2,0,0,1,1,0,1,0,1,2,1,2,0,1,0,1,1,2,1,2,2,0,1,1,1,2,1,1,1,1,5,6,4,42,2,5,1,4,7,19
pp44,3,2,3,1,3,0,2,0,3,1,3,2,3,3,3,3,3,3,0,2,1,3,1,3,1,3,2,3,3,2,3,3,3,3,3,3,1,3,3,3,2,0,2,1,0,2,0,2,0,1,2,0,2,2,2,0,0,0,2,0,0,2,0,2,1,2,1,2,2,0,0,0,0,2,2,2,0,2,2,2,10,3,6,44,1,6,4,6,9,26
pp45,3,1,3,0,0,1,0,0,1,0,2,0,1,3,3,0,1,2,0,0,2,3,3,2,1,2,1,3,2,0,0,0,0,2,2,2,1,2,3,1,2,1,2,2,2,1,2,2,1,2,1,2,0,2,2,2,1,0,2,2,1,2,2,1,1,1,0,2,1,2,2,2,2,1,1,1,0,1,2,0,7,8,10,56,,,,,,
pp46,2,2,2,2,0,1,0,1,1,2,2,1,3,2,3,0,1,3,1,0,1,1,2,3,0,3,2,2,3,1,0,1,2,1,2,2,1,2,1,3,1,0,1,0,2,1,2,1,1,0,1,1,2,1,2,2,1,0,1,2,0,0,1,2,2,2,1,1,2,1,2,1,0,0,1,1,0,1,0,2,6,3,4,42,,,,,,
pp47,2,2,3,1,2,2,0,1,1,0,2,0,3,0,3,1,1,1,1,0,2,2,0,1,1,2,1,2,3,1,0,2,0,2,3,2,0,1,3,3,1,0,2,1,0,0,2,1,1,2,1,2,2,0,2,1,1,1,1,2,1,1,0,0,1,1,0,1,2,1,2,0,2,1,2,1,0,0,2,2,7,5,8,43,1,9,2,0,6,18
pp48,3,1,3,0,1,1,0,1,2,0,2,3,3,3,3,2,3,2,0,0,3,3,1,3,2,3,2,3,3,1,0,1,0,3,2,3,3,3,3,3,2,1,2,2,1,1,2,1,0,2,1,0,2,2,2,0,0,0,2,2,2,2,0,2,0,2,1,2,2,1,2,1,2,2,1,2,2,2,2,2,9,8,8,57,2,4,0,2,4,12
pp49,2,1,3,0,0,2,0,0,1,0,0,1,1,2,2,0,0,2,2,0,0,2,1,2,0,2,1,2,2,2,0,1,1,2,2,2,3,1,2,2,1,1,2,2,2,0,2,2,1,2,0,1,0,1,1,2,2,0,0,2,0,1,0,1,2,1,0,1,1,0,2,1,1,1,1,1,2,0,1,1,5,7,6,42,2,5,2,2,3,14
pp50,3,1,2,1,1,1,0,1,1,0,2,0,2,2,2,2,0,1,2,1,2,2,2,2,1,3,0,2,2,2,0,2,2,2,2,2,2,2,1,3,2,1,1,1,1,1,2,1,1,2,1,2,1,1,1,0,2,1,0,1,1,1,1,1,1,2,0,1,1,0,2,0,0,1,1,1,1,1,0,2,5,6,1,41,1,4,0,3,5,13
pp51,2,1,2,1,1,2,0,0,1,2,2,1,2,2,2,2,2,0,1,0,2,2,1,2,2,2,3,2,2,1,1,1,2,2,2,2,1,2,2,3,1,1,1,1,1,0,2,2,1,0,1,1,1,1,1,0,0,2,1,2,1,1,0,1,0,1,2,1,1,1,1,1,0,1,1,1,0,1,1,2,5,7,3,38,,,,,,
pp52,2,2,2,1,2,2,0,1,2,0,3,1,2,2,3,1,2,1,1,3,2,2,2,3,2,2,2,2,2,2,1,1,1,3,2,2,2,2,2,3,1,0,1,1,0,0,2,1,0,2,2,1,1,1,2,1,0,1,1,0,1,1,1,2,0,1,1,1,1,0,1,1,1,2,1,1,1,1,1,2,7,5,5,39,1,2,2,3,3,11
pp53,1,1,3,1,2,1,0,2,0,0,3,1,2,2,3,2,1,1,0,2,3,1,2,1,3,3,1,1,2,2,0,0,2,3,2,3,2,3,1,2,0,1,2,1,0,1,2,0,2,2,2,1,1,1,2,0,1,1,2,0,2,0,1,0,0,2,0,0,1,0,2,2,0,2,1,2,1,2,0,1,7,6,4,41,1,2,3,1,3,10
pp54,3,1,3,1,0,1,0,2,1,0,3,3,3,3,3,0,0,3,1,2,2,3,1,3,0,3,2,3,3,0,0,2,1,3,1,3,1,3,3,3,2,1,2,1,2,1,2,0,1,2,2,0,2,2,2,2,2,0,1,0,1,2,0,2,2,2,1,2,2,2,2,0,1,2,0,2,0,2,2,2,8,5,8,56,3,8,5,3,4,23
pp55,2,2,3,2,1,1,0,0,1,0,2,0,3,2,3,2,0,1,1,2,3,3,2,3,1,2,2,3,3,2,0,0,1,2,2,2,1,2,3,3,1,0,2,0,1,1,2,2,1,2,1,2,2,1,2,0,2,1,1,0,2,2,1,2,1,1,1,2,2,0,2,2,1,1,1,1,0,1,2,2,7,6,6,51,4,6,2,5,4,21
pp56,2,1,1,0,2,1,0,1,1,3,2,1,1,2,2,1,2,1,0,2,3,2,1,3,2,2,2,1,2,1,1,2,0,2,2,2,3,2,1,2,1,1,0,2,0,1,2,1,1,0,1,1,0,1,1,1,0,1,2,0,2,1,0,2,0,1,1,0,1,1,1,0,2,1,1,1,2,1,0,1,5,8,5,36,2,4,1,8,6,21
pp57,3,2,3,0,3,0,0,0,3,0,3,1,2,2,3,1,1,2,0,3,3,1,0,3,3,3,3,2,3,0,2,0,3,2,3,3,1,3,2,3,2,0,2,2,0,2,2,2,0,2,2,1,1,1,2,1,1,0,2,0,2,0,0,2,0,2,2,1,2,2,0,2,0,1,2,2,0,2,1,2,8,8,6,50,1,4,2,4,7,18
pp58,3,3,3,0,3,3,0,0,3,0,3,0,3,3,3,3,3,3,0,3,3,3,0,3,3,3,3,0,3,3,3,3,3,0,3,3,0,3,0,3,2,0,2,2,0,0,2,2,0,2,2,2,2,2,2,0,0,0,2,0,2,2,0,2,0,2,2,0,2,0,0,0,0,0,2,2,0,2,0,2,8,8,4,44,0,6,6,4,7,23
pp60,2,2,2,2,2,2,0,2,2,0,3,2,2,2,2,0,1,1,0,1,1,2,1,3,0,2,2,2,3,1,1,1,2,3,2,3,2,3,3,2,1,0,1,0,0,0,2,0,0,2,2,0,1,1,1,2,1,1,2,1,0,1,0,2,2,1,1,1,2,1,1,1,0,2,1,2,1,2,2,1,7,2,7,42,2,6,3,3,10,24
pp63,1,0,1,1,0,1,1,0,1,0,3,1,2,3,3,0,3,0,0,1,3,3,1,3,1,1,2,3,3,0,0,1,2,1,1,2,3,2,1,3,0,2,0,1,2,1,1,2,1,2,2,1,1,2,2,2,0,2,2,1,2,2,0,2,1,0,1,2,2,2,2,1,0,0,0,1,2,1,0,2,6,8,4,50,2,9,0,2,7,20
pp64,3,2,3,0,1,1,0,1,1,0,2,1,2,2,2,0,2,2,1,0,2,2,2,3,1,2,3,3,2,1,1,0,0,1,2,2,2,2,2,3,2,0,2,2,1,1,2,1,1,2,1,1,1,1,1,2,0,0,1,2,1,1,1,2,1,1,2,2,1,1,1,2,2,0,1,1,1,1,1,2,4,6,8,49,4,7,1,3,5,20
pp65,2,0,1,0,0,1,0,1,1,2,3,0,1,2,2,0,2,1,3,0,3,1,1,0,2,3,0,2,3,0,1,3,2,1,3,1,2,2,1,1,1,2,0,2,2,1,2,1,1,0,2,2,0,1,1,2,0,1,0,2,2,0,0,0,0,2,0,1,2,2,1,0,0,0,2,0,1,1,0,0,6,9,2,37,1,3,1,5,2,12
pp66,2,2,2,1,1,2,2,2,2,2,2,1,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,5,2,2,25,2,3,1,3,7,16
pp69,2,2,2,0,1,1,0,2,1,0,2,2,3,3,2,1,1,1,1,2,2,2,2,1,1,2,1,2,2,2,2,2,1,2,2,2,2,3,2,2,1,0,1,2,1,1,2,0,1,2,1,0,2,2,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,2,1,1,6,5,5,37,2,3,3,4,7,19
pp70,3,2,3,1,0,1,0,1,2,0,2,1,3,2,3,1,1,1,1,0,2,2,2,2,2,3,3,2,3,2,1,1,2,3,1,2,2,2,2,3,2,0,2,1,2,1,2,1,0,2,1,1,2,1,2,1,1,1,1,2,1,1,1,1,0,2,2,1,2,0,1,1,0,2,0,1,1,1,1,2,7,5,5,47,,,,,,
pp71,3,0,2,0,0,1,0,0,1,0,2,1,2,2,3,1,0,0,0,0,3,2,1,1,1,2,1,3,2,1,0,0,0,2,2,2,0,2,1,2,2,2,1,2,2,1,2,2,1,2,1,1,1,1,2,1,2,2,2,2,2,1,0,0,1,1,0,2,1,1,2,2,2,1,1,1,0,1,0,1,6,10,6,52,0,3,1,1,10,15
pp72,2,0,2,0,2,2,0,2,2,1,1,2,3,2,2,2,0,2,0,1,3,1,1,3,2,2,3,2,1,1,1,0,2,2,1,2,2,3,3,3,1,2,1,2,0,0,2,0,0,1,0,0,2,1,1,0,2,0,2,1,2,0,0,2,0,1,2,1,0,1,1,2,0,1,0,1,1,2,2,2,3,8,5,39,1,4,3,3,6,17
pp73,3,1,3,1,1,0,0,1,2,0,2,1,2,2,3,0,1,1,1,1,2,2,3,3,2,3,2,2,3,1,2,0,0,2,2,2,2,2,2,3,2,1,2,1,1,2,2,1,0,2,1,1,1,1,2,2,1,1,1,1,1,1,2,2,0,2,1,1,2,1,0,2,2,1,1,1,1,1,1,2,7,6,8,51,0,3,0,2,2,7
pp74,3,2,2,1,1,1,0,0,2,0,2,0,2,2,3,0,1,1,1,0,2,2,2,2,1,2,2,2,2,0,0,1,1,2,2,2,1,2,2,2,2,0,1,1,1,1,2,2,0,2,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,0,1,1,1,6,6,6,47,2,8,1,2,2,15
pp75,2,0,3,0,0,0,0,2,0,0,2,0,3,2,2,0,2,0,0,0,3,3,0,3,3,2,3,3,3,0,0,0,2,2,2,2,2,1,2,3,1,2,2,2,2,2,2,0,2,2,1,2,2,1,1,2,0,2,2,2,2,2,0,2,0,1,2,2,2,2,2,2,0,1,1,1,1,0,1,2,6,8,7,58,1,6,4,6,6,23
pp76,2,3,3,0,0,1,0,0,0,0,3,0,2,2,2,0,0,0,0,0,0,2,2,3,1,2,3,2,2,1,0,0,0,2,2,2,1,2,2,2,1,0,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,0,1,1,2,1,1,2,1,1,1,2,2,2,1,1,1,0,1,1,1,5,6,9,56,1,4,1,1,4,11
pp77,2,2,1,0,1,0,1,0,2,1,2,1,2,2,3,0,2,2,1,1,2,1,2,2,2,3,3,0,2,1,2,1,1,2,1,2,2,2,1,1,1,0,0,2,1,2,1,2,0,1,1,1,1,1,2,2,0,0,1,1,1,0,1,1,0,2,2,0,1,1,0,1,1,1,0,1,1,1,0,0,5,6,4,35,1,5,1,0,4,11
pp78,2,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,2,2,1,2,2,3,2,1,1,1,2,2,1,3,1,2,2,2,2,0,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,2,5,2,25,2,2,1,3,2,10
